analysis_type,fit_scope,condition,K,archetype,mean_accuracy,sem_accuracy,std_accuracy,count,rank_mean,error_mean
spatial,within,intact,75,59,0.004916666666666667,0.000596613185780614,0.0037733130983118456,40,0.5103130555555555,0.32843388888888886
spatial,within,intact,75,60,0.004083333333333333,0.0006481125346341155,0.004099023579097137,40,0.5082963888888888,0.3377180555555555
spatial,within,intact,75,61,0.005583333333333333,0.0007297845367541505,0.0046155626746279595,40,0.5471541666666667,0.3339294444444444
spatial,within,intact,75,62,0.005416666666666667,0.0007327066086497203,0.004634043479981492,40,0.5226358333333333,0.3270597222222221
spatial,within,intact,75,63,0.0036666666666666666,0.0004891995904702285,0.0030939698726150473,40,0.5159869444444445,0.3371033333333333
spatial,within,intact,75,64,0.006166666666666666,0.0005913671446023187,0.003740134220666952,40,0.5013708333333333,0.36513999999999996
spatial,within,intact,75,65,0.005166666666666667,0.0007055942515803596,0.004462569877831597,40,0.5105972222222223,0.3417286111111111
spatial,within,intact,75,66,0.003,0.0005175000172041232,0.003272957487082702,40,0.5024708333333333,0.33997805555555555
spatial,within,intact,75,67,0.0028333333333333335,0.0005277215444626347,0.0033376041016874875,40,0.5334775,0.32829833333333325
spatial,within,intact,75,68,0.0032500000000000003,0.0004697016692749325,0.002970654191383831,40,0.5220030555555555,0.339753611111111
spatial,within,intact,75,69,0.0035833333333333333,0.0006013695196343918,0.0038033947948920535,40,0.5015274999999999,0.3266911111111111
spatial,within,intact,75,70,0.005166666666666667,0.0006421784505829843,0.00406149313624023,40,0.5429358333333333,0.337495
spatial,within,intact,75,71,0.004083333333333333,0.0006142595663193327,0.0038849186082326862,40,0.5323641666666667,0.33746388888888895
spatial,within,intact,75,72,0.004666666666666668,0.000673046397354189,0.0042567191732199245,40,0.5340855555555555,0.3345655555555555
spatial,within,intact,75,73,0.0045,0.0005410499447694665,0.003421900306759639,40,0.526651388888889,0.3341905555555556
spatial,within,intact,75,74,0.003166666666666666,0.0005056659032384976,0.003198111978639933,40,0.5047552777777777,0.3290469444444444
spatial,within,intact,100,0,0.00875,0.0007029394935724779,0.004445779713948642,40,0.6418236111111112,0.3131155555555555
spatial,within,intact,100,1,0.005166666666666667,0.0006851081807811226,0.004333004589765487,40,0.5391919444444445,0.3333847222222222
spatial,within,intact,100,2,0.006333333333333334,0.0006292943635623921,0.0039800070151264615,40,0.5552319444444445,0.3109988888888888
spatial,within,intact,100,3,0.006416666666666666,0.0006792351572617534,0.0042958603276195976,40,0.5929633333333334,0.30817388888888886
spatial,within,intact,100,4,0.007750000000000002,0.0007678317049103449,0.0048561940944139665,40,0.5804977777777778,0.336016111111111
spatial,within,intact,100,5,0.009000000000000001,0.0005748776656683841,0.0036358455989457554,40,0.6967233333333335,0.393956111111111
spatial,within,intact,100,6,0.007666666666666666,0.00041688028711990425,0.002636582437847706,40,0.6415736111111112,0.3245266666666666
spatial,within,intact,100,7,0.0069166666666666664,0.0005255237517707583,0.003323704040225084,40,0.6561536111111111,0.3389488888888888
spatial,within,intact,100,8,0.007166666666666667,0.0004706484585228889,0.0029766422123592316,40,0.5956261111111113,0.41201027777777754
spatial,within,intact,100,9,0.0075000000000000015,0.0005304140187994953,0.0033546328045795494,40,0.6754516666666668,0.36746388888888887
spatial,within,intact,100,10,0.009666666666666667,0.0008337605742398084,0.0052731648756954115,40,0.6676441666666667,0.2974375
spatial,within,intact,100,11,0.008749999999999999,0.0007423637845450089,0.004695120823169468,40,0.6603808333333335,0.3490997222222222
spatial,within,intact,100,12,0.008333333333333333,0.0007826465438086419,0.004949891362588122,40,0.6496769444444445,0.3671197222222222
spatial,within,intact,100,13,0.007333333333333333,0.0005091750772173156,0.0032203059435976533,40,0.6576127777777778,0.32628250000000003
spatial,within,intact,100,14,0.008166666666666666,0.0005591762357951763,0.0035365410371042644,40,0.6307233333333334,0.3114480555555555
spatial,within,intact,100,15,0.005333333333333333,0.0005572623354770269,0.0035244364686645184,40,0.6265211111111112,0.3579127777777777
spatial,within,intact,100,16,0.005416666666666667,0.000568492533533872,0.0035954624775333737,40,0.5689563888888889,0.3751805555555555
spatial,within,intact,100,17,0.00825,0.0006084343084444759,0.003848076442547927,40,0.5964388888888891,0.3742711111111111
spatial,within,intact,100,18,0.008333333333333333,0.0006085806194501846,0.0038490017945975053,40,0.6314205555555555,0.3752413888888889
spatial,within,intact,100,19,0.006666666666666668,0.0005967623950328606,0.0037742567804819856,40,0.610541388888889,0.37674833333333324
spatial,within,intact,100,20,0.006833333333333333,0.0005717718748968656,0.0036162028533978947,40,0.6027272222222223,0.3951969444444444
spatial,within,intact,100,21,0.0065833333333333325,0.0006906735223894966,0.0043682029006442205,40,0.6295613888888889,0.34122277777777776
spatial,within,intact,100,22,0.008583333333333335,0.000652493573338361,0.004126731700742675,40,0.6288041666666667,0.3146197222222222
spatial,within,intact,100,23,0.004583333333333333,0.0005808861979155425,0.003673846893536936,40,0.5735722222222222,0.34975888888888895
spatial,within,intact,100,24,0.004833333333333334,0.0006421784505829843,0.00406149313624023,40,0.5613736111111112,0.3223969444444444
spatial,within,intact,100,25,0.007333333333333333,0.0007567361314550618,0.004786019526285168,40,0.5765827777777778,0.3033277777777777
spatial,within,intact,100,26,0.005833333333333334,0.0006172958213483476,0.0039041215711303414,40,0.585145,0.3481213888888888
spatial,within,intact,100,27,0.00525,0.0006947862406725684,0.004394214014942469,40,0.5709816666666667,0.3313030555555555
spatial,within,intact,100,28,0.00525,0.0006844581111966647,0.004328893188716515,40,0.5738308333333333,0.32886388888888896
spatial,within,intact,100,29,0.00825,0.0007825327787751449,0.0049491718493402505,40,0.5851291666666668,0.3129911111111111
spatial,within,intact,100,30,0.005833333333333334,0.0005816520337100941,0.003678690464385871,40,0.5689180555555556,0.33814749999999993
spatial,within,intact,100,31,0.005916666666666667,0.0007687587583176067,0.0048620572949731,40,0.5577466666666666,0.3414916666666666
spatial,within,intact,100,32,0.00425,0.0006425942346670647,0.0040641227856813116,40,0.5499955555555556,0.33845361111111105
spatial,within,intact,100,33,0.006416666666666666,0.0007099967898486877,0.0044904139746595375,40,0.5652963888888889,0.34795638888888875
spatial,within,intact,100,34,0.00475,0.00042846542577274665,0.0027098532881513794,40,0.5534894444444445,0.31120722222222225
spatial,within,intact,100,35,0.003916666666666667,0.0006633195892576047,0.004195201437322778,40,0.5722636111111112,0.34183166666666664
