analysis_type,fit_scope,condition,K,archetype,mean_accuracy,sem_accuracy,std_accuracy,count,rank_mean,error_mean
temporal,within,intact,50,14,0.007083333333333333,0.00043342372495760464,0.0027412123256407945,40,0.6343416666666667,0.3151558333333333
temporal,within,intact,50,15,0.009916666666666667,0.0006906735223894966,0.0043682029006442205,40,0.647211388888889,0.32593861111111105
temporal,within,intact,50,16,0.010166666666666668,0.0007255020856987775,0.004588478076021619,40,0.6295786111111112,0.3029747222222222
temporal,within,intact,50,17,0.008416666666666666,0.0006084343084444759,0.0038480764425479273,40,0.6221966666666667,0.3008119444444445
temporal,within,intact,50,18,0.008666666666666666,0.0007337993857053427,0.0046409548089225705,40,0.6237594444444448,0.30684805555555555
temporal,within,intact,50,19,0.00975,0.0005647213971599238,0.003571611716915804,40,0.6393788888888892,0.32725972222222216
temporal,within,intact,50,20,0.007083333333333333,0.0007471455652859726,0.004725363459995413,40,0.6329827777777778,0.31296
temporal,within,intact,50,21,0.009416666666666667,0.000652493573338361,0.004126731700742675,40,0.6196761111111113,0.3167147222222223
temporal,within,intact,50,22,0.008916666666666666,0.0006130989425780422,0.0038775781791747974,40,0.6229447222222223,0.3193644444444444
temporal,within,intact,50,23,0.011083333333333334,0.0007678317049103448,0.004856194094413966,40,0.6299569444444445,0.3406766666666666
temporal,within,intact,50,24,0.008499999999999999,0.0005840959605818987,0.0036941472150854577,40,0.616835,0.32201499999999994
temporal,within,intact,50,25,0.007166666666666666,0.0006032910690206792,0.0038155477402863876,40,0.5931350000000002,0.32086944444444443
temporal,within,intact,50,26,0.009166666666666667,0.000683025780277887,0.004319834332583677,40,0.6357475,0.30715166666666666
temporal,within,intact,50,27,0.007583333333333333,0.000584553059355846,0.003697038161568145,40,0.6209675000000001,0.3067969444444444
temporal,within,intact,50,28,0.00825,0.0005200742331410084,0.0032892382581820243,40,0.5913116666666667,0.30843305555555556
temporal,within,intact,50,29,0.008833333333333334,0.0006487990219938459,0.004103365306380464,40,0.6345449999999999,0.3082922222222222
temporal,within,intact,50,30,0.007666666666666667,0.0005495400822454191,0.003475596650903565,40,0.5969199999999999,0.3126291666666666
temporal,within,intact,50,31,0.0085,0.0008178040222470289,0.0051722467798952475,40,0.5880105555555556,0.32506305555555554
temporal,within,intact,50,32,0.009250000000000001,0.0007109992566943674,0.004496754131681842,40,0.6287650000000001,0.3098247222222222
temporal,within,intact,50,33,0.008083333333333335,0.0006844581111966647,0.004328893188716515,40,0.6006197222222222,0.3110366666666667
temporal,within,intact,50,34,0.008083333333333335,0.0008172595092215846,0.005168802977143182,40,0.6112186111111111,0.31704138888888883
temporal,within,intact,50,35,0.006916666666666668,0.0005647213971599238,0.003571611716915804,40,0.5921430555555556,0.32429666666666657
temporal,within,intact,50,36,0.006416666666666668,0.0006013695196343918,0.0038033947948920535,40,0.5959858333333334,0.3003169444444444
temporal,within,intact,50,37,0.00925,0.0007499999999999999,0.004743416490252569,40,0.6107266666666668,0.3003511111111111
temporal,within,intact,50,38,0.005833333333333334,0.0005816520337100941,0.003678690464385871,40,0.5887094444444445,0.32123638888888895
temporal,within,intact,50,39,0.008,0.0008672581807839878,0.005485022341382949,40,0.6023072222222222,0.31878166666666663
temporal,within,intact,50,40,0.006083333333333334,0.0006739717291829767,0.004262571485560761,40,0.6042658333333334,0.3160455555555555
temporal,within,intact,50,41,0.006500000000000001,0.0005717718748968656,0.003616202853397895,40,0.5949302777777777,0.3138138888888889
temporal,within,intact,50,42,0.0075000000000000015,0.0008333333333333332,0.005270462766947298,40,0.598638611111111,0.33239777777777774
temporal,within,intact,50,43,0.008,0.0008754323311266076,0.0055367202074215974,40,0.6221008333333334,0.32429833333333324
temporal,within,intact,50,44,0.00625,0.000522806092950542,0.003306516056674825,40,0.570701388888889,0.33834361111111116
temporal,within,intact,50,45,0.009166666666666667,0.0007894424445261182,0.0049928724126273175,40,0.5901583333333333,0.31535611111111106
temporal,within,intact,50,46,0.0032500000000000003,0.0005268773245260372,0.0033322647859959456,40,0.5453244444444445,0.3215091666666666
temporal,within,intact,50,47,0.004666666666666667,0.0005822639771026017,0.0036825607342247002,40,0.5373166666666667,0.3404733333333333
temporal,within,intact,50,48,0.0019166666666666666,0.0003752966537921413,0.00237358444844567,40,0.5418669444444445,0.3389130555555555
temporal,within,intact,50,49,0.003833333333333333,0.0006032910690206793,0.003815547740286388,40,0.5009355555555556,0.33436361111111107
temporal,within,intact,75,0,0.008166666666666666,0.0005330928945203023,0.0033715755022721006,40,0.5941441666666667,0.3682397222222222
temporal,within,intact,75,1,0.007583333333333333,0.0004301245430187895,0.002720346466956902,40,0.5927319444444445,0.37393666666666664
temporal,within,intact,75,2,0.007333333333333333,0.0005623515948579822,0.0035566237711589133,40,0.6046494444444445,0.3346858333333333
temporal,within,intact,75,3,0.0069166666666666664,0.0004831564663131095,0.0030557497995756847,40,0.6038497222222223,0.33963305555555545
temporal,within,intact,75,4,0.007750000000000002,0.000577196041787598,0.0036505082969650712,40,0.59547,0.33263027777777776
temporal,within,intact,75,5,0.008,0.0005310850045437943,0.003358876491038526,40,0.5858119444444444,0.31750138888888885
temporal,within,intact,75,6,0.006500000000000001,0.0004457779141208643,0.002819347078441735,40,0.6082516666666666,0.3012011111111111
temporal,within,intact,75,7,0.008166666666666666,0.00047666337934435156,0.0030146839118420175,40,0.6687511111111111,0.28583583333333323
temporal,within,intact,75,8,0.008166666666666666,0.0007448780469602423,0.004711022414904454,40,0.6362175000000002,0.3110113888888889
temporal,within,intact,75,9,0.007083333333333333,0.000399206834693617,0.0025248057102763123,40,0.6085863888888892,0.3152475
temporal,within,intact,75,10,0.007166666666666667,0.0006703955544528912,0.004239953770645144,40,0.6481019444444447,0.2928547222222222
temporal,within,intact,75,11,0.006833333333333333,0.0005056659032384976,0.003198111978639933,40,0.6404491666666667,0.3196069444444444
temporal,within,intact,75,12,0.007416666666666667,0.0004991088925371763,0.003156641801723386,40,0.6172030555555557,0.32831583333333325
temporal,within,intact,75,13,0.009083333333333334,0.0005467789649092551,0.0034581338115650556,40,0.6552077777777777,0.29453055555555546
temporal,within,intact,75,14,0.008083333333333335,0.0006739717291829767,0.004262571485560761,40,0.66185,0.3615169444444444
temporal,within,intact,75,15,0.007666666666666666,0.0005495400822454191,0.0034755966509035655,40,0.6335875,0.3198447222222222
temporal,within,intact,75,16,0.008833333333333334,0.000626458412386762,0.003962070885030415,40,0.6461591666666668,0.31474166666666664
temporal,within,intact,75,17,0.00775,0.0004527141951056344,0.0028632159712473136,40,0.6321144444444446,0.3038686111111111
temporal,within,intact,75,18,0.008583333333333335,0.000652493573338361,0.004126731700742675,40,0.6540047222222223,0.30973972222222224
temporal,within,intact,75,19,0.008666666666666666,0.0006623793767520534,0.004189255011318546,40,0.6204788888888889,0.3175772222222222
temporal,within,intact,75,20,0.008166666666666666,0.0005961653339578756,0.003770480634683623,40,0.6338994444444446,0.3073361111111111
temporal,within,intact,75,21,0.009083333333333336,0.0005596536881967729,0.0035395607112309897,40,0.6249038888888888,0.3023663888888889
temporal,within,intact,75,22,0.008333333333333335,0.0005063696835418333,0.0032025630761017424,40,0.609417777777778,0.3269544444444445
temporal,within,intact,75,23,0.00975,0.0006359090673047066,0.004021842074872368,40,0.6497013888888891,0.30602138888888886
