rank,accuracy,error,rep,fold,K,condition,reconstruction
0.4978333333333335,0.006666666666666667,0.35088888888888875,29,1,10,rest,all_archetypes
0.5022555555555556,0.0033333333333333335,0.3462777777777775,30,0,10,rest,all_archetypes
0.5076888888888887,0.006666666666666667,0.32538888888888867,30,1,10,rest,all_archetypes
0.495188888888889,0.0033333333333333335,0.3242333333333331,31,0,10,rest,all_archetypes
0.49854444444444435,0.01,0.33771111111111113,31,1,10,rest,all_archetypes
0.5329777777777779,0.0033333333333333335,0.36172222222222217,32,0,10,rest,all_archetypes
0.5358999999999999,0.0033333333333333335,0.3671444444444444,32,1,10,rest,all_archetypes
0.4904222222222219,0.0033333333333333335,0.34051111111111104,33,0,10,rest,all_archetypes
0.48657777777777805,0.006666666666666667,0.33102222222222194,33,1,10,rest,all_archetypes
0.551477777777778,0.0033333333333333335,0.3088555555555555,34,0,10,rest,all_archetypes
0.5446555555555558,0.0033333333333333335,0.3527888888888887,34,1,10,rest,all_archetypes
0.5109333333333332,0.01,0.32681111111111116,35,0,10,rest,all_archetypes
0.5026222222222222,0.01,0.3273555555555557,35,1,10,rest,all_archetypes
0.512244444444445,0.013333333333333334,0.3206222222222222,36,0,10,rest,all_archetypes
0.5007333333333334,0.0033333333333333335,0.33128888888888847,36,1,10,rest,all_archetypes
0.5179333333333337,0.0033333333333333335,0.30798888888888887,37,0,10,rest,all_archetypes
0.5280444444444448,0.006666666666666667,0.34477777777777796,37,1,10,rest,all_archetypes
0.5117111111111106,0.01,0.32569999999999977,38,0,10,rest,all_archetypes
0.5201666666666669,0.006666666666666667,0.3632777777777778,38,1,10,rest,all_archetypes
0.5198888888888887,0.0033333333333333335,0.355777777777778,39,0,10,rest,all_archetypes
0.5335333333333335,0.0033333333333333335,0.3263444444444447,39,1,10,rest,all_archetypes
0.5296111111111113,0.006666666666666667,0.3236333333333333,40,0,10,rest,all_archetypes
0.5280222222222224,0.01,0.3143777777777779,40,1,10,rest,all_archetypes
0.5377666666666667,0.006666666666666667,0.34676666666666645,41,0,10,rest,all_archetypes
0.5460777777777777,0.0,0.38342222222222216,41,1,10,rest,all_archetypes
0.5114444444444444,0.006666666666666667,0.333088888888889,42,0,10,rest,all_archetypes
0.5217777777777778,0.0,0.29837777777777813,42,1,10,rest,all_archetypes
0.5389888888888889,0.0033333333333333335,0.34939999999999993,43,0,10,rest,all_archetypes
0.5389000000000004,0.006666666666666667,0.3250444444444443,43,1,10,rest,all_archetypes
0.529711111111111,0.01,0.34525555555555587,44,0,10,rest,all_archetypes
0.5364444444444443,0.013333333333333334,0.3612000000000001,44,1,10,rest,all_archetypes
0.501444444444444,0.0033333333333333335,0.3304666666666666,45,0,10,rest,all_archetypes
0.5007666666666668,0.01,0.3822444444444443,45,1,10,rest,all_archetypes
0.5243777777777777,0.0,0.32871111111111084,46,0,10,rest,all_archetypes
0.5224777777777779,0.006666666666666667,0.3527555555555554,46,1,10,rest,all_archetypes
0.5599333333333337,0.01,0.3263999999999997,47,0,10,rest,all_archetypes
0.5618555555555553,0.0033333333333333335,0.3351,47,1,10,rest,all_archetypes
0.5394222222222224,0.016666666666666666,0.3237777777777778,48,0,10,rest,all_archetypes
0.5382111111111106,0.01,0.2875666666666668,48,1,10,rest,all_archetypes
0.5200111111111109,0.0033333333333333335,0.333,49,0,10,rest,all_archetypes
0.5141888888888887,0.0,0.374877777777778,49,1,10,rest,all_archetypes
