analysis_type,fit_scope,condition,K,top_m,selected_archetypes,mean,err,std,count,rank_mean,error_mean
temporal,across,rest,100,1,[22],0.0049166666666666,0.0006084343084444,0.0038480764425479,40,0.6123774999999998,0.3009211111111111
temporal,across,rest,100,2,"[22, 87]",0.0071666666666666,0.0006596856715021,0.0041722185234485,40,0.5905088888888889,0.3140302777777777
temporal,across,rest,100,3,"[22, 87, 0]",0.0086666666666666,0.0006292943635623,0.0039800070151264,40,0.6049322222222223,0.2956058333333333
temporal,across,rest,100,5,"[22, 87, 0, 19, 6]",0.0134166666666666,0.0007779685358258,0.004920305042312,40,0.5979175000000001,0.2964524999999999
temporal,across,rest,100,10,"[22, 87, 0, 19, 6, 31, 63, 52, 10, 14]",0.0115833333333333,0.0007059726877843,0.0044649633185388,40,0.5963800000000001,0.313745
temporal,across,rest,300,1,[50],0.006666666666666666,1.3888903378525477e-19,8.784113775629649e-19,40,0.8004988888888889,0.3680933333333332
temporal,across,rest,300,2,"[50, 266]",0.008666666666666666,0.0003540566696958629,0.002239250994025684,40,0.7158677777777778,0.3421141666666666
temporal,across,rest,300,3,"[50, 266, 1]",0.009416666666666667,0.0004757285610699276,0.0030087716019509612,40,0.6998658333333336,0.39260916666666673
temporal,across,rest,300,5,"[50, 266, 1, 0, 9]",0.015083333333333332,0.0004919219241781967,0.0031111874227515096,40,0.6388325000000001,0.40359444444444437
temporal,across,rest,300,10,"[50, 266, 1, 0, 9, 101, 63, 29, 25, 195]",0.017333333333333333,0.0006666666666666665,0.004216370213557839,40,0.5979797222222223,0.4136424999999999
temporal,across,word,5,1,[1],0.0085,0.0007543794264747,0.0047711144152632,40,0.6091794444444445,0.2842944444444444
temporal,across,word,5,2,"[1, 0]",0.0140833333333333,0.0010839905961472,0.0068557584920579,40,0.6381430555555558,0.3329855555555553
temporal,across,word,5,3,"[1, 0, 3]",0.0150833333333333,0.0005722388181146,0.0036191560616103,40,0.6446850000000002,0.3381405555555554
temporal,across,word,5,5,"[1, 0, 3, 2, 4]",0.0205,0.0010305172545696,0.0065175633850874,40,0.6740713888888891,0.3446661111111109
temporal,across,word,5,10,"[1, 0, 3, 2, 4]",0.0205,0.0010305172545696,0.0065175633850874,40,0.6740713888888891,0.3446661111111109
temporal,across,word,10,1,[0],0.0081666666666666,0.0004913786640188,0.0031077515438206,40,0.6185330555555557,0.354276111111111
temporal,across,word,10,2,"[0, 2]",0.0167499999999999,0.0010640961280826,0.0067299348282151,40,0.6718191666666667,0.3081019444444444
temporal,across,word,10,3,"[0, 2, 3]",0.02175,0.0011195459753324,0.0070806304546507,40,0.6919672222222225,0.2817538888888887
temporal,across,word,10,5,"[0, 2, 3, 1, 7]",0.0260833333333333,0.0012454332533716,0.0078768115087362,40,0.6919847222222224,0.3159027777777775
temporal,across,word,10,10,"[0, 2, 3, 1, 7, 6, 4, 5, 8, 9]",0.0293333333333333,0.0011522305878752,0.0072873460948011,40,0.6932375000000002,0.3182563888888887
temporal,across,word,25,1,[11],0.0080833333333333,0.0007906820237478,0.0050007121999893,40,0.5941722222222223,0.3080752777777777
temporal,across,word,25,2,"[11, 0]",0.0123333333333333,0.000756736131455,0.0047860195262851,40,0.6304997222222223,0.3270969444444443
temporal,across,word,25,3,"[11, 0, 2]",0.0163333333333333,0.0008754323311266,0.0055367202074215,40,0.6310447222222223,0.3373252777777777
temporal,across,word,25,5,"[11, 0, 2, 7, 8]",0.0316666666666666,0.0011259690350121,0.0071212534509207,40,0.6739622222222226,0.3115638888888887
temporal,across,word,25,10,"[11, 0, 2, 7, 8, 4, 9, 12, 15, 13]",0.0346666666666666,0.0012563230390101,0.0079456845604329,40,0.7056113888888891,0.3021663888888888
temporal,across,word,50,1,[0],0.00675,0.0005402265537205,0.0034166927245201,40,0.5992722222222223,0.3140972222222222
temporal,across,word,50,2,"[0, 34]",0.0119166666666666,0.0006072625513464,0.0038406655999594,40,0.6298544444444445,0.3007808333333333
temporal,across,word,50,3,"[0, 34, 6]",0.0149166666666666,0.0006750276980705,0.0042692500192066,40,0.6254905555555557,0.3130022222222222
temporal,across,word,50,5,"[0, 34, 6, 8, 2]",0.0254166666666666,0.0008067335919119,0.0051022312308208,40,0.6675680555555557,0.2936413888888888
temporal,across,word,50,10,"[0, 34, 6, 8, 2, 12, 13, 3, 18, 9]",0.0374166666666666,0.00123740089246,0.0078260103977977,40,0.6951327777777779,0.2967930555555554
temporal,across,word,75,1,[27],0.0038333333333333,0.0005913671446023,0.0037401342206669,40,0.5995041666666667,0.3294997222222222
temporal,across,word,75,2,"[27, 15]",0.0071666666666666,0.0006703955544528,0.0042399537706451,40,0.5875655555555557,0.3518397222222222
temporal,across,word,75,3,"[27, 15, 20]",0.00925,0.0007960685091278,0.0050347793247572,40,0.6337455555555556,0.2790313888888888
temporal,across,word,75,5,"[27, 15, 20, 34, 22]",0.0125833333333333,0.0008396130909235,0.0053101794412247,40,0.6685125000000001,0.2784197222222221
temporal,across,word,75,10,"[27, 15, 20, 34, 22, 0, 6, 19, 16, 13]",0.0271666666666666,0.0009132609616345,0.0057759694737613,40,0.7069936111111111,0.2445419444444444
